144|Dennstaedtiaceae|碗蕨科|虎克氏鱗蓋蕨|Microlepia hookeriana|Microlepia hookeriana (Wall. ex Hook.) C. Presl|1|0||原生
145|Dennstaedtiaceae|碗蕨科|克氏鱗蓋蕨|Microlepia krameri|Microlepia krameri C.M. Kuo|1|0||原生
146|Dennstaedtiaceae|碗蕨科|邊緣鱗蓋蕨|Microlepia marginata|Microlepia marginata (Panz.) C. Chr.|1|0||原生
147|Dennstaedtiaceae|碗蕨科|臺北鱗蓋蕨|Microlepia marginata var. bipinnata|Microlepia marginata var. bipinnata Makino|1|0||原生
148|Dennstaedtiaceae|碗蕨科|團羽鱗蓋蕨|Microlepia obtusiloba|Microlepia obtusiloba Hayata|1|0||原生
149|Dennstaedtiaceae|碗蕨科|闊葉鱗蓋蕨|Microlepia platyphylla|Microlepia platyphylla (D. Don) J. Sm.|1|0|DD|原生
150|Dennstaedtiaceae|碗蕨科|斜方鱗蓋蕨|Microlepia rhomboidea|Microlepia rhomboidea (Wall. ex Kunze) Prantl|1|0||未知
151|Dennstaedtiaceae|碗蕨科|中華鱗蓋蕨|Microlepia sinostrigosa|Microlepia sinostrigosa Ching|1|0|DD|原生
152|Dennstaedtiaceae|碗蕨科|熱帶鱗蓋蕨|Microlepia speluncae|Microlepia speluncae (L.) T. Moore|1|0||原生
153|Dennstaedtiaceae|碗蕨科|粗毛鱗蓋蕨|Microlepia strigosa|Microlepia strigosa (Thunb.) C. Presl|1|0||原生
154|Dennstaedtiaceae|碗蕨科|亞粗毛鱗蓋蕨|Microlepia substrigosa|Microlepia substrigosa Tagawa|1|0||原生
155|Dennstaedtiaceae|碗蕨科|臺灣鱗蓋蕨|Microlepia taiwaniana|Microlepia taiwaniana Tagawa|1|1|DD|原生
156|Dennstaedtiaceae|碗蕨科|嫩鱗蓋蕨|Microlepia tenera|Microlepia tenera Christ|1|0||原生
157|Dennstaedtiaceae|碗蕨科|針毛鱗蓋蕨|Microlepia trapeziformis|Microlepia trapeziformis (Roxb.) Kuhn|1|0||原生
158|Dennstaedtiaceae|碗蕨科|毛果鱗蓋蕨|Microlepia trichocarpa|Microlepia trichocarpa Hayata|1|1|NT|原生
159|Dennstaedtiaceae|碗蕨科|稀子蕨|Monachosorum henryi|Monachosorum henryi Christ|1|0||原生
160|Dennstaedtiaceae|碗蕨科|岩穴蕨|Monachosorum maximowiczii|Monachosorum maximowiczii (Baker) Hayata|1|0||原生
161|Dennstaedtiaceae|碗蕨科|曲軸蕨|Paesia radula|Paesia radula C. Chr.|1|0|CR|未知
162|Dennstaedtiaceae|碗蕨科|臺灣曲軸蕨|Paesia taiwanensis|Paesia taiwanensis W.C. Shieh|1|0||原生
